,borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,sanborn,taxmap,GEOID
0,BK,574,32,306,53,1010,15,38,11231,L101,76,4100,3,1D,202 CONOVER STREET,M2-1,K2,5.0,0,,202 CONOVER STREET LLC,2500,4314,4314.0,0.0,0.0,4314.0,0.0,0.0,0.0,0.0,2,0,2.0,0,1,25.0,100.0,25.0,100.0,,1,N,3,0,168750,237600,0,0,2018,0,1.73,0.0,2,0.0,3,3005740032,,53,980120,186237,40.6778533,-74.0148897,16a,301 002,30207,36047005300
1,BK,340,25,306,53,1000,15,39,11231,E202,76,4100,3,2C, UNION STREET,M2-1,V1,11.0,0,C,PORT AUTHORITY OF NY AND NJ,2400,0,,,,,,,,,7,0,0.0,0,0,18.75,100.0,0.0,0.0,,0,Y,5,5,75150,75150,75150,0,0,0,0.0,0.0,2,0.0,3,3003400025,,53,982598,188825,40.68495758,-74.00595651,16a,301 006,30202,36047005300
2,BK,346,6,306,53,1000,15,39,11231,E202,76,4100,3,2C,55 HAMILTON AVENUE,M2-1,V9,11.0,0,C,PORT AUTHORITY OF NY AND NJ,1196,0,,,,,,,,,7,0,0.0,0,0,20.0,67.75,0.0,0.0,,0,Y,5,5,65250,65250,65250,0,0,0,0.0,0.0,2,0.0,3,3003460006,,53,982564,188477,40.68400239,-74.00607902,16a,301 006,30202,36047005300
3,BK,541,16,306,53,1024,15,38,11231,L131,76,4100,3,1D, MILL STREET,M1-1,Z9,,1,,581 CLINTON STREET,1786,0,,,,,,,,,7,0,0.0,0,0,57.0,67.17,0.0,0.0,N,0,Y,3,0,18450,26100,0,0,0,0,0.0,0.0,1,2.4,3,3005410016,,53,983977,185211,40.67503812,-74.00098419,16c,301 037,30206,36047005300
4,BK,340,19,306,53,1000,15,39,11231,E202,76,4100,3,2C,22 UNION STREET,M2-1,V1,11.0,0,C,PORT AUTHORITY OF NY AND NJ,2500,0,,,,,,,,,7,0,0.0,0,0,25.0,100.0,0.0,0.0,,0,Y,5,5,67950,67950,67950,0,0,0,0.0,0.0,2,0.0,3,3003400019,,53,982491,188874,40.68509205,-74.00634233,16a,301 006,30202,36047005300
5,BK,340,3,306,53,1000,15,39,11231,E202,76,4100,3,2C, HAMILTON AVENUE,M2-1,V1,11.0,0,C,PORT AUTHORITY OF NY AND NJ,1450,0,,,,,,,,,7,0,0.0,0,0,20.0,45.17,0.0,0.0,,0,Y,5,5,78750,78750,78750,0,0,0,0.0,0.0,2,0.0,3,3003400003,,53,982420,188807,40.68490814,-74.00659831,16a,301 006,30202,36047005300
6,BK,346,11,306,53,1000,15,39,11231,E202,76,4100,3,2C,10 PRESIDENT STREET,M2-1,V9,11.0,0,C,PORT AUTHORITY OF NY AND NJ,7455,0,,,,,,,,,7,0,0.0,0,0,126.75,60.0,0.0,0.0,,0,Y,5,5,157500,157500,157500,0,0,0,0.0,0.0,2,0.0,3,3003460011,,53,982503,188609,40.68436469,-74.00629899,16a,301 006,30202,36047005300
7,BK,334,56,306,53,1000,15,39,11231,E202,76,4100,3,2C, UNION STREET,M2-1,V9,11.0,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,2079,0,,,,,,,,,7,0,0.0,0,0,21.25,97.83,0.0,0.0,,0,Y,5,5,64800,64800,64800,0,0,0,0.0,0.0,2,0.0,3,3003340056,,53,982353,189111,40.68574254,-74.00683998,16a,301 006,30202,36047004700
8,BK,334,40,306,53,1000,15,39,11231,E202,76,4100,3,2C, UNION STREET,M2-1,V1,11.0,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,24975,0,,,,,,,,,7,0,0.0,0,0,249.75,100.0,0.0,0.0,,0,Y,5,5,504900,504900,504900,0,0,0,0.0,0.0,2,0.0,3,3003340040,,53,982562,189022,40.68549829,-74.00608637,16a,301 006,30202,36047005300
9,BK,340,16,306,53,1000,15,39,11231,E202,76,4100,3,2C, UNION STREET,M2-1,V1,11.0,0,C,PORT AUTHORITY OF NY AND NJ,1624,0,,,,,,,,,7,0,0.0,0,0,25.0,70.0,0.0,0.0,,0,Y,5,5,88650,88650,88650,0,0,0,0.0,0.0,2,0.0,3,3003400016,,53,982429,188916,40.68520732,-74.00656589,16a,301 006,30202,36047005300
10,BK,556,23,306,53,2006,15,38,11231,L101,76,4100,3,1D,103 KING STREET,R5,V1,11.0,0,,THT BROOKLYN BUYERS LLC,2000,0,2000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,7,1,0.0,0,0,20.0,100.0,0.0,0.0,,0,N,5,5,31500,31500,0,0,0,0,0.0,1.25,0,2.0,3,3005560023,,53,981229,186132,40.67756555,-74.01089143,16a,301 020,30206,36047005300
11,BK,555,5,306,53,2001,15,38,11231,L101,76,4100,3,1D,155 KING STREET,M2-1,V1,11.0,0,,"KING STREET OWNER, L.L.C.",24000,0,5955.0,0.0,0.0,0.0,0.0,5955.0,0.0,0.0,7,3,0.0,0,0,150.0,200.0,0.0,0.0,,0,Y,5,5,486000,486000,0,0,0,0,0.0,0.0,2,0.0,3,3005550005,,53,980758,186514,40.67861388,-74.01258969,16a,301 020,30206,36047005300
12,BK,600,102,306,53,4008,15,38,11231,L101,76,4100,3,1D,177 DWIGHT STREET,M1-1,O2,5.0,0,,PETTIBONE REALTY INC,2500,6500,6500.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,2,1,3.0,0,1,25.0,100.0,25.0,100.0,N,2,N,0,0,9000,405900,0,1930,2002,0,2.6,0.0,1,2.4,3,3006000102,,53,981061,184698,40.67362948,-74.01149643,16a,301 023,30207,36047005300
13,BK,600,103,306,53,4008,15,38,11231,L101,76,4100,3,1D,175 DWIGHT STREET,M1-1,F5,6.0,0,,PETTIBONE REALTY INC,2500,2500,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2,1,1.0,0,1,25.0,100.0,25.0,100.0,N,2,N,0,0,28350,99000,0,0,0,0,1.0,0.0,1,2.4,3,3006000103,,53,981079,184717,40.67368164,-74.01143155,16a,33396331,30207,36047005300
14,BK,556,29,306,53,2006,15,38,11231,L101,76,4100,3,1D,152 RICHARDS STREET,R5,V0,11.0,0,,152 RICHARD ST LLC.,6500,0,,,,,,,,,7,0,0.0,0,0,65.0,100.0,0.0,0.0,,0,N,5,5,62580,62580,0,0,0,0,0.0,1.25,0,2.0,3,3005560029,,53,981290,186032,40.67729109,-74.01067146,16a,301 020,30206,36047005300
